年份,省份,城市代码,地级市,人均地区生产总值,CO2排放量,碳排放强度,绿色金融综合指数,绿色信贷,绿色投资,绿色保险,绿色债券,绿色支持,绿色基金,绿色权益,GDP,GDP增速,人均GDP,第一产业增加值,第二产业增加值,第三产业增加值,第一产业增加值占GDP比重,第二产业增加值占GDP比重,第三产业增加值占GDP比重,年末常住人口数,能源消费总量,人均能源消耗,减排效率,地区生产总值,能源消费强度,长江经济带,最早试点年份,Post_carbon,Treat_carbon,碳排放交易DID,经度,纬度,长江经济带.1,年份.1,Post_green,Treat_green,绿色金融试点DID,产业结构高级化,能源利用效率,绿色信贷规模,indus_2,gfi_std
2015,山西省,141100,吕梁市,9558013,51628116.05,-5.40155323601255,0.14798742,0.043443,0.011683,0.019347,0.008614,0.0038,0.045303,0.024595,9551318.0,-4.7,26882.4036025894,512985.0,5352599.0,3685734.0,5.4,56.0,38.6,355.3,1602.7236195,4.51090239093724,5.4053,9558013,1.67683766437648,0,0,0,0,0,111.144319,37.518314,0,2015,0,0,0,0.6885877309322069,5963.606503148561,4.545191558119873e-09,0.5600116886218924,-0.05954972614342151
2016,山西省,141100,吕梁市,9953079,50519926.61,-5.07580886376969,0.11493628,0.029736,0.007355,0.012405,0.004001,0.005974,0.050725,0.019991,9626143.0,4.1,27308.2070921986,509412.0,5298927.0,3817804.0,5.3,55.0,39.7,352.5,1351.74991123,3.83475152121986,5.2482,9953079,1.35812235714195,0,0,0,0,0,111.144319,37.518314,0,2016,0,0,0,0.7204862418372625,7363.106827167001,2.987618203372042e-09,0.5323907305467986,-0.48108185021897587
2017,山西省,141100,吕梁市,13103217,51904549.67,-3.96120660063861,0.09312357,0.028252,0.006884,0.011921,0.003314,0.006132,0.032396,0.011398,13077120.0,9.2,37393.1144915933,532608.0,8193084.0,4351428.0,4.1,62.6,33.3,349.72,1566.27948248,4.47866716939266,3.9691,13103217,1.19533965016377,0,0,0,0,0,111.144319,37.518314,0,2017,0,0,0,0.5311098970790487,8365.823051740905,2.1561117395827298e-09,0.6252727097475376,-0.7592797574059619
2018,山西省,141100,吕梁市,14203195,55339563.34,-3.89627568585801,0.17600154,0.055902,0.01295,0.023178,0.010009,0.009765,0.045433,0.016945,14211983.0,5.2,41032.4027023906,545168.0,8536601.0,5130214.0,3.8,60.1,36.1,346.36,1627.9465487,4.70015749133849,3.8939,14203195,1.14618334022732,0,0,0,0,0,111.144319,37.518314,0,2018,0,0,0,0.6009668250864718,8724.607703700094,3.935874991507192e-09,0.601033851890367,0.2977405672536434
2019,山西省,141100,吕梁市,15120000,52576240.43,-3.4772645787037,0.13608323,0.042777,0.010469,0.021033,0.004792,0.006483,0.03745,0.020166,15017250.0,5.7,43935.2412872633,624362.0,9029712.0,5363176.0,4.2,60.1,35.7,341.8042,1626.74263242,4.75928216335551,3.5011,15120000,1.07588798440476,0,0,0,0,0,111.144319,37.518314,0,2019,0,0,0,0.5939476253506203,9294.647904756115,2.8291666666666668e-09,0.5972031746031746,-0.21137500345908977
2020,山西省,141100,吕梁市,15380000,51590758.08,-3.35440559687906,0.14384544,0.036239,0.00871,0.014563,0.004482,0.008484,0.050983,0.032998,15529828.0,2.7,45749.8641923955,945003.0,9157605.0,5427220.0,6.1,59.0,34.9,339.4508,1800.45844353,5.30403358463141,3.322,15380000,1.17064918304942,0,0,0,0,0,111.144319,37.518314,0,2020,0,0,0,0.5926462213646472,8542.268806741127,2.3562418725617684e-09,0.5954229518855657,-0.11237627395019827
2021,山西省,141100,吕梁市,20710000,54692493.02,-2.64087363689039,0.13483919,0.040089,0.011279,0.018172,0.005107,0.005532,0.039245,0.023478,21384889.0,9.2,63368.6799155356,1047552.0,14390390.0,5946947.0,4.9,67.3,27.8,337.4678,1823.08448422,5.40224721949768,2.5575,20710000,0.880291880357315,0,0,0,0,0,111.144319,37.518314,0,2021,0,0,0,0.41325822302244763,11359.86849718635,1.935731530661516e-09,0.6948522452921294,-0.2272414099925695
2022,山西省,141100,吕梁市,24190000,54425634.33,-2.24992287432823,0.11935009,0.03888,0.011005,0.018369,0.00483,0.004676,0.028156,0.017663,24189048.0,3.9,71766.4528620632,1078245.0,16842647.0,6268156.0,4.5,69.6,25.9,337.0523,2003.38103406,5.94382840306979,2.25,24190000,0.828185627970236,0,0,0,0,0,111.144319,37.518314,0,2022,0,0,0,0.3721597917476986,12074.587703856401,1.6072757337742869e-09,0.6962648615130219,-0.42478839999105866
2023,山西省,141100,吕梁市,23660000,56179056.88,-2.37443182079459,0.17800053,0.044615,0.017674,0.02551,0.011498,0.010764,0.024012,0.018793,23661000.0,4.3,70702.7061915741,1097300.0,15937000.0,6626900.0,4.64,67.35,28.01,334.6548,2120.3787,6.33601759185883,2.3743,26125200,0.811622,0,0,0,0,0,111.144319,37.518314,0,2023,0,0,0,0.41581853548346615,12321.006620185346,1.707738122578966e-09,0.6100240380934883,0.3232355577654921
2024,山西省,141100,吕梁市,26430000,56194539.51,-2.12616494551646,0.19209242,0.043151,0.019503,0.026772,0.013521,0.012425,0.021734,0.020125,26432400.0,1.3,79716.5088364799,1099500.0,15385600.0,9947300.0,4.2,58.2,37.6,331.58,2244.2072,6.76822245008746,2.126,28215216,0.795389,0,0,0,0,0,111.144319,37.518314,0,2024,0,0,0,0.6465331218801996,12572.464788456255,1.5293521056156367e-09,0.5452944255326629,0.502962620854362
2000,宁夏回族自治区,640300,吴忠市,917834,11878287.42,-12.9416511264564,0.008704,0.004403,0.001301,0.002098,0.000869,0.000135,0.005484,0.002097,502300.0,10.2,4706.94290477319,110100.0,227900.0,264900.0,21.9,45.4,32.7,106.7147,177.8510972,1.66660354384166,23.6478,6170000,0.288251373095624,0,0,0,0,0,106.198393,37.99746,0,2000,0,0,0,1.1623519087318999,34691.9422884505,7.136142625607779e-10,0.03693679092382496,-1.6520426505614165
2001,宁夏回族自治区,640300,吴忠市,1010000,11842972.93,-11.7257157722772,0.04014074,0.013263,0.002997,0.006391,0.002038,0.001836,0.012995,0.008167,565200.0,11.1,5219.9547825573,120100.0,250700.0,372500.0,21.3,44.4,34.3,108.2768,179.71636032,1.65978640225792,20.9536,6930000,0.259330967272727,0,0,0,0,0,106.198393,37.99746,0,2001,0,0,0,1.485839648982848,38560.763125074176,1.913852813852814e-09,0.036176046176046174,-1.4350193799858184
2002,宁夏回族自治区,640300,吴忠市,960000,12693516.78,-13.2224133125,0.02926726,0.010568,0.00312,0.004553,0.00166,0.001235,0.011551,0.003746,626400.0,11.0,5904.7380243825,131600.0,276000.0,301000.0,21.0,44.1,34.9,106.0843,200.2124772,1.88729602024051,20.2642,226264,8.84862272389775,0,0,0,0,0,106.198393,37.99746,0,2002,0,0,0,1.0905797101449275,2385.6788914207964,4.6706502139094155e-08,1.21981402255772,-1.5736990479335218
2003,宁夏回族自治区,640300,吴忠市,1270346,13752018.65,-10.8254118562974,0.03340043,0.01111,0.002972,0.005182,0.001795,0.001161,0.013666,0.006041,723500.0,11.9,6511.03771632214,137900.0,345700.0,354000.0,19.1,47.8,33.1,111.119,227.22540464,2.04488345503469,19.0076,1010000,2.24975648158416,0,0,0,0,0,106.198393,37.99746,0,2003,0,0,0,1.0240092565808505,4444.925520542799,1.1000000000000001e-08,0.3422772277227723,-1.5209848623028488
2004,宁夏回族自治区,640300,吴忠市,922147,14240751.17,-14.4178882915508,0.02241653,0.008399,0.002135,0.003578,0.001673,0.001011,0.008655,0.003756,866500.0,9.7,6998.59866489514,168400.0,381800.0,271000.0,19.4,44.1,36.5,123.8105,269.29805868,2.1750825550337,16.4348,960000,2.80518811125,0,0,0,0,0,106.198393,37.99746,0,2004,0,0,0,0.7097957045573599,3564.823321436355,8.748958333333333e-09,0.39770833333333333,-1.6520426505614165
2005,宁夏回族自治区,640300,吴忠市,981093,14034104.64,-14.3045609743419,0.02665458,0.007502,0.001999,0.003159,0.000864,0.001481,0.013287,0.008085,971000.0,13.9,7722.06913279812,175500.0,434300.0,321000.0,18.1,44.7,37.2,125.7435,318.044376,2.52931066814587,14.4532,1270346,2.50360434086461,0,0,0,0,0,106.198393,37.99746,0,2005,0,0,0,0.739120423670274,3994.2413570614435,5.905477720243146e-09,0.3418753630900558,-1.607021001425284
2006,宁夏回族自治区,640300,吴忠市,1196379,14477869.6,-12.1014073299515,0.01868174,0.006258,0.001486,0.002855,0.001247,0.00067,0.011711,0.003881,1175200.0,14.3,9232.41053745482,193800.0,558700.0,354000.0,16.5,47.6,35.9,127.2907,348.42342987,2.73722612783181,12.3195,922147,3.77839357358425,0,0,0,0,0,106.198393,37.99746,0,2006,0,0,0,0.6336137461965277,2646.6274106309716,6.786336668665624e-09,0.6058686955550471,-1.6520426505614165
2007,宁夏回族自治区,640300,吴忠市,1388272,14060381.37,-10.1279730268996,0.03050379,0.011971,0.002635,0.00505,0.002084,0.002201,0.006379,0.003867,1364500.0,11.6,10628.1638162625,224600.0,654300.0,410883.0,16.5,47.9,35.6,128.3853,380.57072144,2.96428579782888,10.3044,981093,3.87904838216153,0,0,0,0,0,106.198393,37.99746,0,2007,0,0,0,0.627973406694177,2577.9518621079133,1.2201697494529062e-08,0.6669092532512209,-1.557928423459354
2008,宁夏回族自治区,640300,吴忠市,1729879,13569656.66,-7.84428081964114,0.0538452,0.016838,0.004719,0.007267,0.002218,0.002634,0.017036,0.010282,1742900.0,12.6,13248.2095267921,280800.0,816400.0,497400.0,16.1,46.8,37.1,131.5574,426.7746968,3.244018936221,7.7857,1196379,3.56721989269287,0,0,0,0,0,106.198393,37.99746,0,2008,0,0,0,0.6092601665850074,2803.303497068995,1.4074135370146082e-08,0.6823924525589299,-1.2602335743189497
2009,宁夏回族自治区,640300,吴忠市,1858945,19640151.42,-10.5652138282736,0.02271891,0.008205,0.001667,0.003891,0.00101,0.001637,0.009962,0.004124,1895900.0,13.1,14218.3471349569,287700.0,869200.0,606700.0,15.2,45.9,38.9,133.3418,489.47730174,3.67084666428682,10.3593,1388272,3.52580259300771,0,0,0,0,0,106.198393,37.99746,0,2009,0,0,0,0.6979981592268752,2836.233662041025,5.910225085574009e-09,0.6261020895040741,-1.6520426505614165
2010,宁夏回族自治区,640300,吴忠市,2169973,23109061.46,-10.6494695832621,0.04924664,0.017147,0.004149,0.007811,0.002733,0.002454,0.012029,0.007752,2245900.0,11.95,17516.9171348972,357200.0,1058000.0,693316.97,15.9,47.1,37.0,128.2132,634.1733474,4.94624069440588,10.2894,1729879,3.66599830045916,0,0,0,0,0,106.198393,37.99746,0,2010,0,0,0,0.65530904536862,2727.769949797168,9.912253978457452e-09,0.6116034705317539,-1.3188833142216847
2011,宁夏回族自治区,640300,吴忠市,2719592,24182767.7,-8.8920572277018,0.04807561,0.017964,0.004001,0.008739,0.001871,0.003353,0.012537,0.004317,2797200.0,13.1,21604.5878468401,415900.0,1331200.0,836500.0,14.9,47.6,37.5,129.4725,699.78253293,5.40487387615131,8.6453,1858945,3.76440687018712,0,0,0,0,0,106.198393,37.99746,0,2011,0,0,0,0.6283804086538461,2656.460989697141,9.663545720825523e-09,0.7161051026254138,-1.3338185558882718
2012,宁夏回族自治区,640300,吴忠市,3150281,23723057.57,-7.53045762266922,0.07035486,0.019904,0.004384,0.008341,0.002659,0.00452,0.022531,0.01571,3119700.0,13.8,23828.8010974524,452000.0,1434800.0,971300.0,14.5,45.9,39.6,130.9214,843.13134316,6.43998111202599,7.6043,2169973,3.8854462390085,0,0,0,0,0,106.198393,37.99746,0,2012,0,0,0,0.6769584611095623,2573.7069527828085,9.172464357851457e-09,0.6612063836738983,-1.0496704274028308
2013,宁夏回族自治区,640300,吴忠市,3519276,23921965.22,-6.79741095043412,0.02902438,0.011573,0.003328,0.005662,0.002187,0.000396,0.009258,0.003228,3329300.0,10.6,25178.7652248226,503700.0,1473400.0,1090580.0,15.1,44.3,40.6,132.2265,746.2906374,5.64403230366077,7.1853,2719592,2.74412719775613,0,0,0,0,0,106.198393,37.99746,0,2013,0,0,0,0.7401791774127867,3644.145944902618,4.255417724423369e-09,0.5417724423369388,-1.5767967239076477
2014,宁夏回族自治区,640300,吴忠市,3834317,23355380.83,-6.09114500183475,0.04575287,0.016292,0.004748,0.007907,0.001778,0.001859,0.015416,0.005126,3532200.0,7.56,26349.3583861857,521400.0,1529100.0,1155342.0,14.8,43.3,41.9,134.0526,768.85045398,5.73543858142252,6.6121,3150281,2.44057737700224,0,0,0,0,0,106.198393,37.99746,0,2014,0,0,0,0.7555699431037866,4097.391090416067,5.171602152315937e-09,0.4853852719804995,-1.3634426331780491
2015,宁夏回族自治区,640300,吴忠市,4048073,21952067.0,-5.42284365919291,0.06313193,0.020407,0.005614,0.008864,0.002795,0.003134,0.022099,0.007406,3732400.0,7.44,27563.3494003842,556200.0,1620700.0,1237480.4,14.9,43.4,41.7,135.4117,607.67878422,4.48763869163447,5.8815,3519276,1.72671533639305,0,0,0,0,0,106.198393,37.99746,0,2015,0,0,0,0.7635468624668352,5791.342550352892,5.7986358557839745e-09,0.4605208571308417,-1.1417912143090931
2016,宁夏回族自治区,640300,吴忠市,4424283,24436131.74,-5.52318460188916,0.05742202,0.01919,0.004402,0.008828,0.002983,0.002977,0.014775,0.009506,4125200.0,9.04,30203.3667982615,563500.0,1781500.0,1365962.28,13.7,43.2,43.1,136.5808,599.40370367,4.3886381077721,5.9236,3834317,1.5632606893744,0,0,0,0,0,106.198393,37.99746,0,2016,0,0,0,0.7667484030311535,6396.885732476175,5.004802680633865e-09,0.4646199049270053,-1.214615040978317
2017,宁夏回族自治区,640300,吴忠市,5081146,26028343.47,-5.12253406416584,0.0432168,0.016584,0.004903,0.00692,0.002528,0.002232,0.010143,0.003122,4827000.0,8.0,35067.4541769283,590400.0,2187500.0,1512941.0,12.2,45.3,42.5,137.649,778.24807324,5.65385925971129,5.3922,4048073,1.92251491818453,0,0,0,0,0,106.198393,37.99746,0,2017,0,0,0,0.6916301714285714,5201.520105468523,4.096764065272539e-09,0.5403805712001735,-1.3957875076333415
2018,宁夏回族自治区,640300,吴忠市,5345336,30113983.94,-5.63369336183918,0.06156707,0.019942,0.004016,0.009542,0.0038,0.002584,0.019608,0.009307,5403300.0,6.6,39137.5016840577,659100.0,2413900.0,1652957.0,12.2,44.7,43.1,138.0594,759.1181587,5.49848948133919,5.5733,4424283,1.71579928024496,0,0,0,0,0,106.198393,37.99746,0,2018,0,0,0,0.684766146070674,5828.187548005233,4.507397017776666e-09,0.545602530398711,-1.16174933858804
2019,宁夏回族自治区,640300,吴忠市,5800000,32918135.84,-5.67554066206897,0.04140619,0.01269,0.003497,0.006055,0.001359,0.001779,0.019052,0.007444,5801800.0,7.1,42003.7994405092,686300.0,2585200.0,2528261.0,11.8,44.6,43.6,138.1256,787.1531661,5.69882169634014,5.6738,5081146,1.5491646295934,0,0,0,0,0,106.198393,37.99746,0,2019,0,0,0,0.977975011604518,6455.091866268998,2.497468090859818e-09,0.5087828611891885,-1.4188799116827155
2020,宁夏回族自治区,640300,吴忠市,6220000,32293601.96,-5.19189742122187,0.03153617,0.008754,0.002422,0.003714,0.001312,0.001306,0.016221,0.008276,6421700.0,6.2,46399.8346811253,858200.0,2927100.0,2636452.0,13.4,45.6,41.0,138.3992,900.25368651,6.50476076819808,5.0288,5345336,1.6841854029569,0,0,0,0,0,106.198393,37.99746,0,2020,0,0,0,0.9007044515049024,5937.5885709751265,1.637689380050197e-09,0.5475988787234329,-1.54476151501828
2021,宁夏回族自治区,640300,吴忠市,7620000,35185055.64,-4.61746137007874,0.05655486,0.016472,0.004696,0.00748,0.00322,0.001076,0.026532,0.008988,7758700.0,8.3,55737.7873563218,1038400.0,3899000.0,2836792.0,13.4,50.2,36.4,139.2,1033.71791018,7.42613441221264,4.5349,5800000,1.78227225893103,0,0,0,0,0,106.198393,37.99746,0,2021,0,0,0,0.7275691202872532,5610.815042364946,2.84e-09,0.6722413793103448,-1.2256747441145281
2022,宁夏回族自治区,640300,吴忠市,8670000,34732323.47,-4.00603500230681,0.06967208,0.023059,0.005663,0.01058,0.003544,0.003273,0.022169,0.007849,8670300.0,4.1,61970.5524980344,1201400.0,4513400.0,2955600.0,13.9,52.0,34.1,139.91,1326.04802687,9.47786453341434,4.0059,6220000,2.13191001104502,0,0,0,0,0,106.198393,37.99746,0,2022,0,0,0,0.6548500022156246,4690.629505087889,3.707234726688103e-09,0.7256270096463022,-1.058378559820542
2023,宁夏回族自治区,640300,吴忠市,9020000,35700371.62,-3.95791259645233,0.07369269,0.028794,0.005779,0.012827,0.003015,0.004617,0.016954,0.005857,9058200.0,7.2,64576.8874313823,1237100.0,4506700.0,3280600.0,13.7,49.9,36.4,140.27,1401.8468,9.99391744492764,3.9412,6709738,2.089272,0,0,0,0,0,106.198393,37.99746,0,2023,0,0,0,0.7279384028224644,4786.356112522424,4.291374715376368e-09,0.671665570250284,-1.0070999572253088
2024,宁夏回族自治区,640300,吴忠市,9340000,35336911.04,-3.7833951862955,0.08636084,0.033727,0.006621,0.015107,0.003454,0.006186,0.017154,0.005409,9337000.0,6.1,65971.8787536211,1309000.0,3999400.0,4028800.0,14.0,42.8,43.2,141.53,1481.9775,10.4711191973433,3.7846,7238035,2.047486,0,0,0,0,0,106.198393,37.99746,0,2024,0,0,0,1.0073511026653998,4884.0383878972525,4.659690095447176e-09,0.5525532827625177,-0.845531182967969
2000,河南省,411600,周口市,3414728,5662807.22,-1.65834796212173,0.0663618,0.01918,0.004321,0.009048,0.003652,0.002159,0.023489,0.014497,3381400.0,9.1,3471.30684734627,1338800.0,1171100.0,871500.0,39.6,34.6,25.8,974.1,413.5987568,0.424595787701468,1.6747,30650000,0.134942498140294,0,0,0,0,0,114.696951,33.626149,0,2000,0,0,0,0.7441721458457861,74105.63860766421,6.257748776508972e-10,0.038208809135399674,-1.1005976590614404
2001,河南省,411600,周口市,3734029,5957632.08,-1.59549700337089,0.06141507,0.018185,0.004339,0.00745,0.003493,0.002902,0.020971,0.011543,3691900.0,10.8,3754.983726607,1417000.0,1304300.0,970600.0,38.4,35.3,26.3,983.2,408.12041354,0.415093992615948,1.6137,31960000,0.127697250794743,0,0,0,0,0,114.696951,33.626149,0,2001,0,0,0,0.7441539523115848,78310.22154168133,5.689924906132666e-10,0.040810387984981225,-1.1636879368590674
2002,河南省,411600,周口市,4135687,6253946.35,-1.51219044139462,0.07815124,0.025216,0.006601,0.012132,0.003159,0.003324,0.025778,0.010185,4015500.0,9.6,3809.77229601518,1518200.0,1431800.0,1065500.0,37.8,35.7,26.5,1054.0,554.1892461,0.525796248671727,1.5575,12068363,0.459208300330376,0,0,0,0,0,114.696951,33.626149,0,2002,0,0,0,0.7441681799133957,21776.60985832688,2.0894300246023423e-09,0.11864078002956988,-0.950235895901038
2003,河南省,411600,周口市,4034625,8817351.96,-2.18542044427921,0.0839684,0.028991,0.006517,0.014055,0.003766,0.004652,0.020779,0.009135,3964400.0,-2.7,3740.0,1256100.0,1552700.0,1155500.0,31.7,39.2,29.1,1060.0,568.36323964,0.536191735509434,2.2241,3734029,1.52211790438692,0,0,0,0,0,114.696951,33.626149,0,2003,0,0,0,0.7441875442777098,6569.793293396536,7.76399969041483e-09,0.4158243013109968,-0.8760442095965004
2004,河南省,411600,周口市,5219821,9913528.29,-1.89920847668914,0.09046028,0.029236,0.006619,0.012127,0.004835,0.005654,0.019849,0.01328,5138300.0,14.0,4823.56254400375,1818500.0,1903400.0,1416500.0,35.4,37.0,27.6,1065.25,697.05934376,0.654362209584605,1.9293,4135687,1.68547412741825,0,0,0,0,0,114.696951,33.626149,0,2004,0,0,0,0.7441945991383839,5933.048652201886,7.069200352928063e-09,0.4602379241949403,-0.7932471875983602
2005,河南省,411600,周口市,5954976,10770077.49,-1.80858453333817,0.07287319,0.020734,0.006158,0.008973,0.002357,0.003246,0.02924,0.013135,5825900.0,12.2,5862.65887112193,2007000.0,2189500.0,1629400.0,34.4,37.6,28.0,993.73,861.15842865,0.866591960240709,1.8487,4034625,2.13441999851287,0,0,0,0,0,114.696951,33.626149,0,2005,0,0,0,0.7441881708152547,4685.1135235648835,5.1390153979613965e-09,0.5426774483378257,-1.0175518077720649
2006,河南省,411600,周口市,6777441,11219173.31,-1.65537011830867,0.08057395,0.021256,0.004549,0.009463,0.004232,0.003013,0.032447,0.017999,6564000.0,12.2,6606.34668223311,2199200.0,2502500.0,1862300.0,33.5,38.1,28.4,993.59,945.58759641,0.951687915951247,1.7092,5219821,1.81153261081175,0,0,0,0,0,114.696951,33.626149,0,2006,0,0,0,0.7441758241758242,5520.187679933064,4.072170290896948e-09,0.4794225702375618,-0.9193368076299802
2007,河南省,411600,周口市,7985380,11511106.87,-1.4415227415602,0.12242946,0.036739,0.008207,0.016985,0.005002,0.006545,0.034619,0.021053,7968400.0,12.3,8047.83210285518,2355200.0,3218300.0,2395000.0,29.6,40.4,30.0,990.13,1062.23407368,1.07282283506206,1.4446,5954976,1.78377557471264,0,0,0,0,0,114.696951,33.626149,0,2007,0,0,0,0.7441817108411273,5606.086405578765,6.169462311854826e-09,0.5404387859833524,-0.38551431211044274
2008,河南省,411600,周口市,9841251,11392057.41,-1.15758224335504,0.11959695,0.041032,0.009095,0.020062,0.006381,0.005495,0.028954,0.011134,9538000.0,12.2,9573.03731657868,2882700.0,3815700.0,2839600.0,30.2,40.0,29.8,996.34,1102.36211848,1.10641158488066,1.1944,6777441,1.6265167317281,0,0,0,0,0,114.696951,33.626149,0,2008,0,0,0,0.7441884844196347,6148.107673860495,6.054202463732255e-09,0.5630001057921419,-0.42163996335167836
2009,河南省,411600,周口市,10653712,11815805.42,-1.10907873424774,0.08188815,0.022646,0.0047,0.011267,0.00308,0.003599,0.030862,0.018254,10686800.0,11.0,10644.7532247622,3051600.0,4377500.0,3257700.0,28.5,41.0,30.5,1003.95,1130.63268758,1.12618425975397,1.1056,7985380,1.41587837720935,0,0,0,0,0,114.696951,33.626149,0,2009,0,0,0,0.7441918903483724,7062.753525277836,2.835932666948849e-09,0.5481893159749442,-0.9025755849471894
2010,河南省,411600,周口市,12283024,12464157.83,-1.01474668045914,0.11140074,0.036809,0.008315,0.015322,0.005264,0.007909,0.021036,0.014365,12447400.0,11.3,13924.9795836177,3490300.0,5135400.0,3821700.0,28.0,41.3,30.7,893.89,1207.69027305,1.35105021093199,1.0013,9841251,1.2271714978614,0,0,0,0,0,114.696951,33.626149,0,2010,0,0,0,0.7441874050706858,8148.820289117753,3.740276515658426e-09,0.5218239022660839,-0.5261739010817928
2011,河南省,411600,周口市,14074894,13129070.03,-0.932800632814712,0.11188575,0.036893,0.009315,0.01805,0.006989,0.002538,0.032171,0.012658,14198600.0,11.1,15801.5046296296,3709900.0,6013600.0,4475200.0,26.1,42.4,31.5,898.56,1398.16719657,1.55600872125401,0.9247,10653712,1.31237562698335,0,0,0,0,0,114.696951,33.626149,0,2011,0,0,0,0.7441798589862977,7619.769671421136,3.462924471770966e-09,0.5644605373225783,-0.5199881145855363
2012,河南省,411600,周口市,15747181,13451701.89,-0.854229203944503,0.11898996,0.039909,0.010598,0.017898,0.007622,0.003791,0.027226,0.013293,16055800.0,10.9,17727.1121317847,3952000.0,6939500.0,5164300.0,24.6,43.2,32.2,905.72,1474.41053944,1.62788780135141,0.8378,12283024,1.20036445376969,0,0,0,0,0,114.696951,33.626149,0,2012,0,0,0,0.7441890626125801,8330.80317281593,3.2491184581256214e-09,0.564966737832638,-0.4293814749604343
2013,河南省,411600,周口市,17906548,13653174.62,-0.762468266915544,0.09122714,0.031237,0.006648,0.015145,0.005758,0.003686,0.022854,0.009786,18184000.0,9.35,20015.8506516379,4189400.0,8023600.0,5971000.0,23.1,44.1,32.8,908.48,1530.79284018,1.68500444718651,0.7508,14074894,1.08760523537868,0,0,0,0,0,114.696951,33.626149,0,2013,0,0,0,0.744179669973578,9194.512562748196,2.21934175845303e-09,0.5700646839684903,-0.7834667042423072
2014,河南省,411600,周口市,19920815,13589735.83,-0.682187743322751,0.14211927,0.042138,0.011274,0.018545,0.00447,0.007849,0.041209,0.023342,20510600.0,9.07,22468.7517116722,4299800.0,9294300.0,6916600.0,21.0,45.3,33.7,912.85,923.39220508,1.01154867182998,0.6626,15747181,0.586385718866126,0,0,0,0,0,114.696951,33.626149,0,2014,0,0,0,0.7441765383084256,17053.621325117976,2.6759075163992847e-09,0.590219925712418,-0.13439173564427292
2015,河南省,411600,周口市,20896975,13742252.73,-0.657619235798483,0.13914871,0.045784,0.013124,0.019104,0.006003,0.007553,0.035513,0.012127,21707600.0,8.97,23659.5095367847,4321600.0,9968000.0,7418000.0,19.9,45.9,34.2,917.5,1022.1896853,1.11410319923706,0.6331,17906548,0.570846868586843,0,0,0,0,0,114.696951,33.626149,0,2015,0,0,0,0.7441813804173355,17517.832802964207,2.5568300489854325e-09,0.5566678736739209,-0.17227806774942486
2016,河南省,411600,周口市,22638615,13736047.97,-0.606753017797246,0.09005002,0.02867,0.005947,0.012586,0.004887,0.00525,0.0275,0.010257,23468300.0,8.55,25457.8293648641,4334900.0,10870100.0,8263300.0,18.5,46.3,35.2,921.85,1051.0266855,1.14012766230949,0.5853,19920815,0.527602251966097,0,0,0,0,0,114.696951,33.626149,0,2016,0,0,0,0.7601861988390172,18953.671942709203,1.4391981452566072e-09,0.5456654258372461,-0.7984796173790952
2017,河南省,411600,周口市,24597000,15255911.99,-0.620234662357198,0.10662703,0.032246,0.008772,0.014102,0.004337,0.005036,0.035424,0.014762,26034800.0,7.72,28328.5638118451,4466300.0,11990400.0,9578100.0,17.1,46.1,36.8,919.03,1656.7264238,1.80269025363699,0.586,20896975,0.792806817158943,0,0,0,0,0,114.696951,33.626149,0,2017,0,0,0,0.7988140512409928,12613.413234557478,1.5430941559723356e-09,0.5737863973134868,-0.5870574928738072
2018,河南省,411600,周口市,26872100,18781859.25,-0.698935299064829,0.136695,0.046397,0.013534,0.022865,0.005335,0.004664,0.038213,0.011652,29395900.0,8.21,32340.5027779306,4602000.0,13024500.0,11769400.0,15.7,44.3,40.0,908.95,1769.2054915,1.94642773694923,0.6389,22638615,0.78149899695719,0,0,0,0,0,114.696951,33.626149,0,2018,0,0,0,0.9036354562555184,12795.921733662559,2.04946283153806e-09,0.5753222977642405,-0.20357252803628417
2019,河南省,411600,周口市,31980000,19138472.88,-0.59845130956848,0.15341169,0.0516,0.011842,0.020914,0.00923,0.009615,0.027567,0.014453,31665100.0,7.3,35086.3721481678,4745300.0,13713800.0,13206000.0,15.0,43.3,41.7,902.49,2301.99314274,2.55071318545358,0.6044,24597000,0.935883702378339,0,0,0,0,0,114.696951,33.626149,0,2019,0,0,0,0.9629716052443524,10685.088301663165,2.097816806927674e-09,0.5575395373419523,0.009631066248589747
2020,河南省,411600,周口市,32670000,19308427.62,-0.591014007346189,0.13956228,0.038624,0.008636,0.018397,0.005453,0.006138,0.045695,0.029022,32218000.0,1.3,35723.5521749254,5615700.0,12980900.0,13621500.0,17.4,40.3,42.3,901.87,1943.36517399,2.15481740604522,0.5993,26872100,0.723190660197751,0,0,0,0,0,114.696951,33.626149,0,2020,0,0,0,1.049349428776125,13827.612205701838,1.4373271906549915e-09,0.4830623583568087,-0.16700342244055116
2021,河南省,411600,周口市,34960000,22252100.93,-0.63650174284897,0.11561195,0.030896,0.008089,0.013285,0.004468,0.005054,0.045019,0.022128,34560800.0,6.1,39038.5180164916,6105700.0,13792300.0,14662800.0,17.7,39.9,42.4,885.3,2299.32656955,2.59722870162657,0.6439,31980000,0.718988921060038,0,0,0,0,0,114.696951,33.626149,0,2021,0,0,0,1.0631149264444655,13908.420153757797,9.661038148843026e-10,0.4312789243277048,-0.47246439828617925
